Name	No Power	Power
Cooper	The man cut Cooper's speaking time short.	Cooper cut the man's speaking time short.
Davidson	The partner is forcing Davidson out of the law firm.	Davidson is forcing the partner out of the law firm.
Morrison	He rejected Morrison's application outright.	Clerk Morrison rejected his application outright.
Turner	Scully revoked Turner's license permanently.	Turner revoked Scully's license permanently.
The committee	Dr. Foster overruled the committee's decision.	The committee overruled Dr. Foster's decision.
Gray	Gray had been locked out of the system by the administrator.	The administrator had been locked out of the system by Gray.
Indians	The British reduced Indians' responsibilities significantly.	Indians reduced the British's responsibilities significantly.
Fisher	The studio blacklisted Fisher from future opportunities.	Fisher blacklisted the studio from future opportunities.
Merrill	The officer detained Merrill for questioning.	Merrill detained the officer for questioning.
Bennett	The firm forced the sale of Bennett's property.	Bennett forced the sale of the firm's property.
The board	President Carver ousted the board from leadership.	The board ousted President Carver from leadership.
Rick	HR blocked Rick's access to the files.	Rick blocked HR's access to the files.
Judge Mitchell	He issued a restraining order against Mitchell.	Mitchell issued a restraining order against him.
Palmer	Palmer's funding was cut off completely by the agency.	The agency's funding was cut off completely by Palmer.
Rivera	The woman denied Rivera's visa application.	Rivera denied the woman's visa application.
Murphy	The CEO forced Murphy into retirement.	Murphy forced the CEO into retirement.
Warden Ellis	Someone isolated Warden Ellis from other staff.	Warden Ellis isolated him from other inmates.
Manager Cox	Someone prohibited Manager Cox from attending the event.	Manager Cox prohibited her from attending the event.
Supervisor Reed	He will write Supervisor Reed up formally.	Supervisor Reed will write him up formally.
Shaw	The administrator expelled Dr. Shaw from the hospital.	Dr. Shaw expelled the administrator from the hospital.
Morgan	The bank seized control of Morgan's assets.	Morgan seized control of the bank's assets.
Wright	The agent issued Wright a citation.	Wright issued the agent a citation.
Kelly	He mandated Kelly's attendance at counseling.	Kelly mandated his attendance at counseling.
Phillips	She penalized Phillips financially.	Phillips penalized her financially.
Russell	Russell was from the property by his neighbor.	his neighbor was barred from the property by Russell.
Graham	The woman intercepted Graham's correspondence to his home office.	Graham intercepted the woman's correspondence to her home office.
Chair Robinson	Someone overrode Chair Robinson's objections.	Chair Robinson overrode someone's objections.
Jessica	He transferred Jessica to a remote location.	Jessica transferred him to a remote location.
Dr. Patel	Dr. Patel's access to the lab will be restricted by the research director.	The research director's access to the lab will be restricted by Dr. Patel.
Captain Lewis	They discharged Captain Lewis from service.	Captain Lewis discharged them from service.
Angela	He excluded Angela from the team meeting.	Angela excluded him from the team meeting.
Tony	They reassigned Tony to the basement office.	Tony reassigned them to the basement office.
Rachel	He denied Rachel entry to the conference.	Rachel denied him entry to the conference.
Dr. Santos	The inspector revoked Dr. Santos's medical license.	Dr. Santos revoked the inspector's medical license.
Michelle	Elena prohibited Michelle from using company resources.	Michelle prohibited Elena from using company resources.
Agent Torres	They are stripping Agent Torres of his badge.	Agent Torres is stripping them of their badges.
Catherine	He barred Catherine from future projects.	Catherine barred him from future projects.
Stevens	Allamonte court-martialed Stevens.	Stevens court-martialed Allamonte.
Kevin	Raquel forced Kevin to relocate immediately.	Kevin forced Raquel to relocate immediately.
Dr. Anderson	He censured Dr. Anderson publicly.	Dr. Anderson censured him publicly.
Natalie	She confined Natalie to administrative duties.	Natalie confined her to administrative duties.
Inspector Walsh	They demoted Inspector Walsh two ranks.	Inspector Walsh demoted them two ranks.
Carmen	He blocked Carmen's credentials at the gate.	Carmen blocked his credentials at the gate.
Director James	Director James will be suspended without pay by Monica.	Monica will be suspended without pay by Dr. James.
Jessica	They refused to sell the house to Jessica.	Jessica refused to sell the house to them.
Paul	The school invalidated Paul's certification.	Paul invalidated the school's certification.
Dr. Foster	He dismissed Dr. Foster from the board.	Dr. Foster dismissed him from the board.
Samantha	The office forced Samantha to work double shifts.	Samantha forced the office to work double shifts.
Colonel Buendia	They relieved Colonel Buendia of command.	Colonel Buendia relieved them of command.
Lauren	Her husband restricted Lauren's movements outside the home.	Lauren restricted her husband's movements outside the home.
Norway	Norway was placed under surveillance by the country.	The country was placed under surveillance by Norway.
Daniel	They cut Daniel's salary in half.	Daniel cut their salaries in half.
Nicole	He forced Nicole out of her position.	Nicole forced him out of his position.
Alec	Alec submitted to her demands.	She submitted to Alec's demands.
Mongolia	Mongolia surrendered on the terms that Khazakstan demanded.	Khazakstan surrendered on the terms that Mongolia demanded.
Sameer	Sameer paid the amount that Mary fined him.	Mary paid the amount that Sameer fined her.
Marty	Marty resigned his position as Rigo required.	Rigo resigned his position as Marty required.
Rachel	Rachel reconsidered her decision after Taylor's threat. 	Taylor reconsidered his decision after Rachel's warning.
Jessica	Jessica submitted the paperwork per Andre's instructions.	Andre submitted the paperwork per Jessica's instructions.
Priya	Priya accepts the terms that Hassan has set.	Hassan accepts the terms that Priya has set.
Victor	Victor delayed action because he did not have Maria's approval.	Maria delayed action because he did not have Victor's approval.
Zoe	Zoe will revise her statement according to Ryan's specifications. 	Ryan will revise his statement according to Zoe's specifications.
Wei	Wei abandoned the project at Fatima's behest.	Fatima abandoned the project at Wei's behest.
Raj	The board proceeded despite Raj's reservations about the plan.	Raj proceeded despite the board's reservations about the plan.
Sarah	Sarah completed the report when James demanded it.	James completed the report when Sarah demanded it.
Marcus	Marcus attended the meeting at his boss's insistence.	His boss attended the meeting at Marcus's insistence.
David	David changed his schedule to accommodate Lisa's needs.	Lisa changed her schedule to accommodate David's needs.
Turkey	Turkey complied with the directive issued by Jordan.	Jordan complied with the directive issued by Turkey.
Rebecca	Rebecca withdrew her proposal under pressure from Tom.	Tom withdrew his proposal under pressure from Rebecca.
Carlos	Carlos will wait until he has Marion's authorization.	Marion will wait until he has Carlos's authorization.
